name,matched_airport_name,matched_city,matched_country,iata,lat,lon,match_method,role
HANOVER,Hannover Airport,Hannover,DE,HAJ,52.4611,9.685,manual_override,destination
HARARE,Harare International Airport,Harare,ZW,HRE,-17.9318,31.0928,city_match_single,destination
HASSI MESSAOUD,Oued Irara Airport,Hassi Messaoud,DZ,HME,31.673,6.14044,city_match_single,destination
HAWARDEN,Hawarden Airport,Hawarden,GB,CEG,53.1781,-2.97778,city_match_single,destination
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,Dhaka / Hazrat Shahjalal International Airport,Dhaka,BD,DAC,23.84335,90.39778,fuzzy(0.83),destination
HEATHROW,London Heathrow Airport,London,GB,LHR,51.47,-0.4543,manual_override,destination
HELSINKI,Helsinki Vantaa Airport,Helsinki,FI,HEL,60.3172,24.9633,city_match_single,destination
HERAKLION,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,HER,35.3397,25.1803,city_match_single,destination
HO CHI MINH CITY,Tan Son Nhat International Airport,Ho Chi Minh City,VN,SGN,10.8188,106.652,city_match_single,destination
HONG KONG (CHEK LAP KOK),Chek Lap Kok International Airport,Hong Kong,HK,HKG,22.3089,113.915,city_match_single,destination
HOUSTON,Conroe/North Houston Regional Airport,Houston,US,CXO,30.353396,-95.415082,city_multi_noqualifier_guess,destination
HUMBERSIDE,Humberside Airport,Grimsby,GB,HUY,53.5744,-0.35083,fuzzy(0.42),destination
HURGHADA,Hurghada International Airport,Hurghada,EG,HRG,27.1783,33.7994,city_match_single,destination
HYDERABAD ( RAJIV GHANDI ),Rajiv Gandhi International Airport Shamshabad,Hyderabad,IN,HYD,17.23132,78.42986,city_multi_qualifier(0.69),destination
IASI,Iasi Airport,Iasi,RO,IAS,47.1785,27.6206,city_match_single,destination
IBIZA,Ibiza Airport,Ibiza,ES,IBZ,38.8729,1.37312,city_match_single,destination
ILHA DO SAL C.VERDE,Amilcar Cabral International Airport,Sal,CV,SID,16.7414,-22.9494,manual_override,destination
